Complaint ID,Company Response to Consumer,Timely Response,Consumer Disputed
468882,Closed with explanation,Yes,No
468889,Closed with explanation,Yes,No
468879,Closed,Yes,No
468949,Closed with explanation,Yes,No
475823,Closed with explanation,Yes,No
468981,Closed with explanation,Yes,No
467801,Closed with non-monetary relief,Yes,No
475728,Closed with explanation,Yes,Yes
469026,Closed with explanation,Yes,Yes
469035,Closed with explanation,Yes,Yes
469037,Closed with non-monetary relief,Yes,No
469284,Closed with explanation,Yes,No
480488,Closed with explanation,Yes,Yes
468904,Closed with explanation,No,
468905,Closed with non-monetary relief,Yes,No
469057,Closed with explanation,Yes,No
469060,Closed with explanation,Yes,Yes
469070,Closed with explanation,Yes,Yes
472236,Closed with explanation,Yes,No
469131,Closed with monetary relief,Yes,No
474204,Closed with monetary relief,Yes,No
469138,Closed with explanation,Yes,No
469143,Closed with explanation,Yes,No
480173,Closed with non-monetary relief,Yes,No
469360,Closed with explanation,Yes,Yes
469632,Closed with monetary relief,Yes,No
469173,Closed with explanation,Yes,No
469185,Closed with explanation,Yes,No
469201,Closed with non-monetary relief,Yes,No
469210,Closed with explanation,Yes,No
469252,Closed with explanation,Yes,No
469863,Closed with non-monetary relief,Yes,No
469255,Closed with non-monetary relief,Yes,No
469811,Closed,Yes,No
479329,Closed,Yes,Yes
454668,Closed with explanation,No,
475273,Closed with monetary relief,Yes,No
479990,Closed with monetary relief,Yes,No
469293,Closed with explanation,Yes,No
469309,Closed with explanation,Yes,No
469334,Closed with explanation,Yes,No
469340,Closed with explanation,Yes,No
469487,Closed with explanation,Yes,No
469394,Closed with explanation,Yes,No
469408,Closed with explanation,Yes,No
469411,Closed with explanation,Yes,No
469414,Closed with explanation,Yes,No
469423,Closed with explanation,Yes,No
479282,Closed with explanation,Yes,No
469428,Closed with non-monetary relief,Yes,No
475777,Closed with explanation,Yes,No
469446,Closed with explanation,Yes,No
469447,Closed with explanation,Yes,Yes
467427,Closed with explanation,Yes,No
464039,Closed with explanation,Yes,No
469461,Closed with explanation,Yes,No
469473,Closed with explanation,Yes,Yes
469479,Closed with explanation,Yes,Yes
469499,Closed,Yes,No
469501,Closed,Yes,No
469513,Closed with explanation,Yes,Yes
480183,Closed,Yes,No
469525,Closed with explanation,Yes,No
469537,Closed with explanation,Yes,No
469507,Closed with explanation,Yes,No
469508,Closed with explanation,Yes,No
469589,Closed with non-monetary relief,Yes,No
469241,Closed with explanation,Yes,No
469606,Closed with explanation,Yes,No
470828,Closed with explanation,Yes,No
470831,Closed with non-monetary relief,Yes,No
480463,Closed with monetary relief,Yes,No
479873,Closed with non-monetary relief,Yes,No
472678,Closed with explanation,Yes,No
469641,Closed with explanation,Yes,No
470665,Closed with explanation,Yes,No
470852,Closed with explanation,Yes,Yes
470863,Closed with non-monetary relief,Yes,Yes
469653,Closed with explanation,Yes,No
455630,Closed with explanation,Yes,No
469660,Closed with explanation,Yes,No
467092,Closed with explanation,Yes,Yes
469664,Closed with explanation,Yes,Yes
469666,Closed,Yes,No
479338,Closed with monetary relief,Yes,No
470903,Closed with explanation,Yes,No
469669,Closed with explanation,Yes,No
469670,Closed with explanation,Yes,No
487029,Closed with explanation,Yes,No
469678,Closed with explanation,Yes,No
469732,Closed with explanation,Yes,No
480935,Closed with explanation,Yes,No
493136,Closed with explanation,Yes,Yes
454695,Closed with explanation,Yes,Yes
469736,Closed with explanation,Yes,No
748242,Closed with explanation,Yes,No
470913,Closed with explanation,Yes,No
469711,Closed with explanation,Yes,No
482443,Closed with explanation,Yes,Yes
469734,Closed with explanation,Yes,No
501508,Closed with explanation,Yes,No
469738,Closed with explanation,Yes,No
469739,Closed with explanation,Yes,No
469752,Closed with explanation,Yes,Yes
469753,Closed with explanation,Yes,No
466892,Closed with explanation,Yes,Yes
469755,Closed with explanation,Yes,No
470928,Closed with explanation,Yes,No
476001,Closed with explanation,Yes,No
470978,Closed with explanation,Yes,No
469777,Closed with explanation,Yes,No
469781,Closed with explanation,Yes,No
479487,Closed with explanation,Yes,Yes
470951,Closed with non-monetary relief,Yes,No
470955,Closed with explanation,Yes,Yes
470012,Closed with explanation,Yes,No
470091,Closed with explanation,Yes,No
469792,Closed with non-monetary relief,Yes,No
470962,Closed with explanation,Yes,No
471071,Closed with monetary relief,Yes,No
470985,Closed with explanation,Yes,No
470103,Closed with explanation,Yes,No
470206,Closed with monetary relief,Yes,No
470970,Closed with explanation,Yes,No
470132,Closed with explanation,Yes,No
469810,Closed,Yes,No
470151,Closed with explanation,Yes,Yes
475278,Closed with explanation,Yes,Yes
471053,Closed with non-monetary relief,Yes,No
535169,Closed with explanation,Yes,No
474284,Closed with explanation,Yes,No
471000,Closed with explanation,Yes,No
479648,Closed with explanation,Yes,No
474893,Closed with explanation,Yes,No
471014,Closed with explanation,Yes,Yes
470488,Closed with non-monetary relief,Yes,No
471164,Closed with non-monetary relief,Yes,Yes
471015,Closed,Yes,No
469836,Closed with monetary relief,Yes,No
471021,Closed with explanation,Yes,No
468212,Closed with explanation,Yes,No
479907,Closed with explanation,Yes,Yes
480943,Closed with non-monetary relief,Yes,No
470235,Closed with explanation,Yes,No
471037,Closed with explanation,Yes,No
470298,Closed with explanation,Yes,Yes
482436,Closed with explanation,Yes,Yes
471048,Closed with monetary relief,Yes,No
476098,Closed with non-monetary relief,Yes,No
469980,Closed with explanation,Yes,No
461803,Closed with explanation,Yes,Yes
473955,Closed with explanation,Yes,No
470018,Closed with explanation,Yes,No
469982,Closed with explanation,Yes,No
469979,Closed with explanation,Yes,No
470507,Closed,Yes,No
461804,Closed,Yes,
470022,Closed,Yes,No
476099,Closed with explanation,Yes,No
463412,Closed with explanation,Yes,No
471075,Closed with explanation,Yes,No
471067,Closed with monetary relief,Yes,Yes
471077,Closed with explanation,Yes,No
463102,Closed with explanation,Yes,No
480956,Closed with explanation,Yes,No
471082,Closed with non-monetary relief,Yes,No
471100,Closed with explanation,Yes,Yes
468579,Closed with non-monetary relief,Yes,No
471127,Closed with explanation,Yes,No
471130,Closed with monetary relief,Yes,No
471132,Closed with explanation,Yes,No
471336,Closed with monetary relief,Yes,No
470089,Closed with explanation,Yes,No
471143,Closed with explanation,Yes,Yes
471152,Closed with explanation,Yes,No
475642,Closed with explanation,Yes,No
480974,Closed with explanation,Yes,Yes
471160,Closed with explanation,Yes,No
471163,Closed with explanation,Yes,No
470150,Closed with explanation,Yes,No
471166,Closed with non-monetary relief,Yes,No
461071,Closed with explanation,Yes,Yes
461072,Closed with explanation,Yes,No
461073,Closed with explanation,Yes,No
471171,Closed with explanation,Yes,Yes
471172,Closed with explanation,Yes,No
469081,Closed with explanation,Yes,No
470373,Closed with explanation,Yes,No
470365,Closed with explanation,Yes,No
475640,Closed with explanation,Yes,No
